Date,Open,High,Low,Close,Adj Close,Volume
2020-11-01,33.459999,37.259998,33.389999,36.480000,34.167755,85888600
2020-12-01,37.410000,40.259998,37.320000,40.220001,37.670700,91435800
2021-01-01,40.849998,42.020000,38.990002,39.139999,36.689629,71929800
2021-02-01,40.590000,43.130001,40.439999,41.029999,38.461300,70279200
2021-03-01,41.680000,43.840000,41.110001,42.180000,39.539307,97344000
2021-04-01,42.450001,42.500000,39.130001,41.020000,38.451931,102260000
2021-05-01,41.389999,44.490002,40.650002,44.279999,41.507839,76129600
2021-06-01,44.770000,45.439999,43.889999,44.250000,41.479717,60656200
2021-07-01,44.180000,44.840000,43.669998,44.689999,41.931179,54375100
2021-08-01,44.950001,48.790001,44.759998,48.599998,45.599804,54366500
2021-09-01,48.770000,50.130001,48.619999,48.689999,45.684250,65412200
2021-10-01,49.000000,50.660000,48.500000,48.840000,45.824993,66914500
2021-11-01,49.250000,50.849998,46.889999,47.520000,44.586479,58278100
2021-12-01,48.189999,48.730000,43.290001,45.840000,43.010193,82100500
2022-01-01,46.520000,48.580002,43.720001,45.869999,45.783165,82776600
2022-02-01,45.950001,46.259998,41.200001,43.750000,43.667179,79214800
2022-03-01,43.209999,45.430000,40.080002,44.570000,44.485626,122819500
2022-04-01,45.220001,46.520000,43.599998,43.639999,43.557388,92122100
2022-05-01,43.799999,44.009998,40.099998,41.430000,41.351570,106037600
2022-06-01,41.720001,42.400002,38.580002,39.369999,39.295471,84138100
2022-07-01,39.160000,42.720001,38.980000,42.680000,42.599205,63020700
2022-08-01,42.820000,44.230000,42.580002,43.020000,42.938560,51264300
2022-09-01,43.220001,44.480000,40.209999,40.779999,40.702801,61448000
2022-10-01,40.740002,42.500000,39.740002,42.200001,42.120113,53864700
2022-11-01,42.689999,44.279999,41.889999,44.240002,44.156254,55297200
2022-12-01,44.430000,44.470001,40.939999,41.740002,41.660988,54684500
2023-01-01,42.000000,42.849998,40.709999,40.990002,40.912407,52031600
2023-02-01,40.669998,40.680000,38.779999,38.799999,38.726551,60376000
2023-03-01,39.330002,40.349998,37.770000,39.360001,39.285492,61301100
2023-04-01,39.299999,41.130001,39.299999,41.119999,41.042156,26780300
2023-05-01,41.189999,42.090000,40.740002,41.700001,41.621059,44713300
2023-06-01,41.810001,43.810001,41.759998,43.700001,43.617275,45852000
2023-07-01,43.820000,44.790001,43.439999,44.759998,44.759998,50636300
2023-08-01,44.590000,44.630001,43.130001,43.970001,43.970001,60475200
2023-09-01,44.240002,45.459999,44.099998,44.220001,44.220001,59361600
2023-10-01,44.270000,44.869999,42.669998,43.240002,43.240002,63791000
2023-11-01,43.119999,46.029999,43.110001,46.020000,46.020000,57178000
2023-12-01,46.130001,49.099998,46.040001,48.810001,48.810001,72840900
2024-01-01,48.680000,50.200001,48.450001,49.889999,49.889999,79431500
2024-02-01,50.080002,51.830002,49.820000,51.160000,51.160000,92787000
2024-03-01,51.919998,52.450001,50.009998,51.590000,51.590000,92346600
